year,region,district,people_total,area,population_density
105,彰化縣,竹塘鄉,15491,42.1662,367
105,彰化縣,溪州鄉,30391,75.831,401
105,南投縣,南投市,100960,71.6021,1410
105,南投縣,埔里鎮,81574,162.2227,503
105,南投縣,草屯鎮,98431,104.0327,946
105,南投縣,竹山鎮,55493,247.3339,224
105,南投縣,集集鎮,11035,49.7268,222
105,南投縣,名間鄉,39220,83.0955,472
105,南投縣,鹿谷鄉,18010,141.8981,127
105,南投縣,中寮鄉,15083,146.6541,103
105,南投縣,魚池鄉,16154,121.3735,133
105,南投縣,國姓鄉,19098,175.7042,109
105,南投縣,水里鄉,18015,106.8424,169
105,南投縣,信義鄉,16381,1422.4188,12
105,南投縣,仁愛鄉,15709,1273.5312,12
105,雲林縣,斗六市,108401,93.7151,1157
105,雲林縣,斗南鎮,45227,48.1505,939
105,雲林縣,虎尾鎮,70815,68.742,1030
105,雲林縣,西螺鎮,46597,49.7985,936
105,雲林縣,土庫鎮,29275,49.0212,597
105,雲林縣,北港鎮,40658,41.4999,980
105,雲林縣,古坑鄉,31995,166.6059,192
105,雲林縣,大埤鄉,19480,44.9973,433
105,雲林縣,莿桐鄉,29089,50.8502,572
105,雲林縣,林內鄉,18453,37.6035,491
105,雲林縣,二崙鄉,27518,59.5625,462
105,雲林縣,崙背鄉,25083,58.484,429
105,雲林縣,麥寮鄉,45126,80.1668,563
105,雲林縣,東勢鄉,15120,48.3562,313
105,雲林縣,褒忠鄉,13167,37.0552,355
105,雲林縣,臺西鄉,24212,54.0983,448
105,雲林縣,元長鄉,26361,71.5872,368
105,雲林縣,四湖鄉,24151,77.1189,313
105,雲林縣,口湖鄉,28074,80.4612,349
105,雲林縣,水林鄉,26071,72.9582,357
105,嘉義縣,太保市,37497,66.8964,561
105,嘉義縣,朴子市,42585,49.5737,859
105,嘉義縣,布袋鎮,27509,61.7307,446
105,嘉義縣,大林鎮,31379,64.1663,489
105,嘉義縣,民雄鄉,71834,85.4969,840
105,嘉義縣,溪口鄉,14933,33.0463,452
105,嘉義縣,新港鄉,32385,66.0495,490
105,嘉義縣,六腳鄉,23787,62.2619,382
105,嘉義縣,東石鄉,25307,81.5821,310
105,嘉義縣,義竹鄉,18822,79.2925,237
105,嘉義縣,鹿草鄉,15808,54.3151,291
105,嘉義縣,水上鄉,50084,69.1198,725
105,嘉義縣,中埔鄉,45395,129.5016,351
105,嘉義縣,竹崎鄉,36226,162.2256,223
105,嘉義縣,梅山鄉,19800,119.7571,165
105,嘉義縣,番路鄉,11695,117.5269,100
105,嘉義縣,大埔鄉,4610,173.2472,27
105,嘉義縣,阿里山鄉,5664,427.8471,13
105,屏東縣,屏東市,201644,65.067,3099
105,屏東縣,潮州鎮,54703,42.4331,1289
105,屏東縣,東港鎮,48097,29.4635,1632
105,屏東縣,恆春鎮,30783,136.763,225
105,屏東縣,萬丹鄉,51261,57.4679,892
105,屏東縣,長治鄉,30159,39.8861,756
105,屏東縣,麟洛鄉,11125,16.26,684
105,屏東縣,九如鄉,22083,42.0187,526
105,屏東縣,里港鄉,26995,68.9208,392
105,屏東縣,鹽埔鄉,26199,64.3493,407
105,屏東縣,高樹鄉,24882,90.1522,276
105,屏東縣,萬巒鄉,20609,60.7315,339
105,屏東縣,內埔鄉,55181,81.8554,674
105,屏東縣,竹田鄉,17351,29.0732,597
105,屏東縣,新埤鄉,9927,59.0102,168
105,屏東縣,枋寮鄉,24826,57.7347,430
105,屏東縣,新園鄉,35680,38.3109,931
105,屏東縣,崁頂鄉,15916,31.2659,509
105,屏東縣,林邊鄉,18317,15.6233,1172
105,屏東縣,南州鄉,10808,18.97,570
105,屏東縣,佳冬鄉,19689,30.9842,635
105,屏東縣,琉球鄉,12423,6.8018,1826
105,屏東縣,車城鄉,8741,49.8517,175
105,屏東縣,滿州鄉,7847,142.2013,55
105,屏東縣,枋山鄉,5535,17.2697,321
105,屏東縣,三地門鄉,7662,196.3965,39
105,屏東縣,霧臺鄉,3285,278.796,12
105,屏東縣,瑪家鄉,6773,78.7008,86
105,屏東縣,泰武鄉,5262,118.6266,44
105,屏東縣,來義鄉,7494,167.7756,45
105,屏東縣,春日鄉,4855,160.001,30
105,屏東縣,獅子鄉,4827,301.0018,16
105,屏東縣,牡丹鄉,4853,181.8366,27
105,臺東縣,臺東市,106368,109.7691,969
105,臺東縣,成功鎮,14411,143.9939,100
105,臺東縣,關山鎮,8811,58.7351,150
105,臺東縣,卑南鄉,17443,412.6871,42
105,臺東縣,大武鄉,6238,69.1454,90
105,臺東縣,太麻里鄉,11304,96.6523,117
105,臺東縣,東河鄉,8686,210.1908,41
105,臺東縣,長濱鄉,7399,155.1868,48
105,臺東縣,鹿野鄉,8018,89.698,89
105,臺東縣,池上鄉,8375,82.6854,101
105,臺東縣,綠島鄉,3724,15.0919,247
105,臺東縣,延平鄉,3523,455.8805,8
105,臺東縣,海端鄉,4283,880.0382,5
105,臺東縣,達仁鄉,3524,306.4454,11
105,臺東縣,金峰鄉,3612,380.6635,9
105,臺東縣,蘭嶼鄉,5083,48.3892,105
105,花蓮縣,花蓮市,105034,29.4095,3571
105,花蓮縣,鳳林鎮,11004,120.5181,91
105,花蓮縣,玉里鎮,24740,252.3719,98
105,花蓮縣,新城鄉,20274,29.4095,689
105,花蓮縣,吉安鄉,83656,65.2582,1282
105,花蓮縣,壽豐鄉,18146,218.4448,83
105,花蓮縣,光復鄉,13032,157.11,83
105,花蓮縣,豐濱鄉,4439,162.4332,27
105,花蓮縣,瑞穗鄉,11757,135.5862,87
105,花蓮縣,富里鄉,10557,176.3705,60
105,花蓮縣,秀林鄉,15796,1641.8555,10
105,花蓮縣,萬榮鄉,6440,618.491,10
105,花蓮縣,卓溪鄉,6036,1021.313,6
105,澎湖縣,馬公市,61740,33.9918,1816
105,澎湖縣,湖西鄉,14435,33.3008,433
105,澎湖縣,白沙鄉,9799,20.0875,488
105,澎湖縣,西嶼鄉,8403,18.7148,449
105,澎湖縣,望安鄉,5131,13.7824,372
105,澎湖縣,七美鄉,3755,6.9868,537
105,基隆市,中正區,52572,10.2118,5148
105,基隆市,七堵區,54103,56.2659,962
105,基隆市,暖暖區,38407,22.8283,1682
105,基隆市,仁愛區,45021,4.2335,10634
105,基隆市,中山區,48115,10.5238,4572
105,基隆市,安樂區,82014,18.025,4550
105,基隆市,信義區,51868,10.6706,4861
105,新竹市,東區,209826,33.5768,6249
105,新竹市,北區,149993,15.7267,9537
105,新竹市,香山區,77518,54.8491,1413
105,嘉義市,東區,122462,30.1556,4061
105,嘉義市,西區,147412,29.87,4935
105,金門縣,金城鎮,42726,21.713,1968
105,金門縣,金湖鎮,28833,41.696,692
105,金門縣,金沙鎮,20312,41.19,493
105,金門縣,金寧鄉,30006,29.854,1005
105,金門縣,烈嶼鄉,12568,16.003,785
105,金門縣,烏坵鄉,669,1.2,558
105,連江縣,南竿鄉,7382,10.4,710
105,連江縣,北竿鄉,2344,9.9,237
105,連江縣,莒光鄉,1562,4.7,332
105,連江縣,東引鄉,1307,3.8,344
